InvestorID,TrancheID,EntryDate,EntryNAV,Units,HWM,OriginalEntryDate,OriginalEntryNAV,CumulativeFeesPaid,OriginalInvestedValue,InvestedValue
1,RECOVERED_DEP_1_1705363200,2024-01-16,1000.0,94098.99075333333,1000.0,2024-01-16,1000.0,3835656.010333333,100000000.0,100000000.0
1,RECOVERED_DEP_32_1755648000,2025-08-20,1890.1305958948817,26453.198582464887,1890.1305958948817,2025-08-20,1890.1305958948817,0.0,50000000.0,50000000.0
2,RECOVERED_DEP_5_1719619200,2024-06-29,1250.0,30294.925941904756,1250.0,2024-06-29,1250.0,1118735.0625288156,50000000.0,50000000.0
3,RECOVERED_DEP_6_1724803200,2024-08-28,1250.0,58201.41606,1250.0,2024-08-28,1250.0,1211698.9808552426,75000000.0,75000000.0
4,RECOVERED_DEP_15_1738281600,2025-01-31,1500.0,20000.0,1500.0,2025-01-31,1500.0,0.0,30000000.0,30000000.0
