InvestorID,TrancheID,EntryDate,EntryNAV,Units,HWM,OriginalEntryDate,OriginalEntryNAV,CumulativeFeesPaid
1,0ef1777f-0d09-4068-a91d-f17726beb226,2024-01-16,1000.0,100000.0,1549.422425122778,2024-01-16,1000.0,0.0
2,ae6ca815-e40a-44cc-a446-9670f831f400,2025-07-20,1286.9198312236288,33533.482142857145,1549.422425122778,2024-06-29,1120.0,0.0
3,1bbc67a5-5e78-44f5-97bd-9586dedc3d20,2024-08-28,1119.9999999999998,66964.28571428572,1549.422425122778,2024-08-28,1119.9999999999998,0.0
4,199cebe0-0636-45c2-9db8-80f36986cd34,2025-01-31,1181.434599156118,25392.857142857145,1549.422425122778,2025-01-31,1181.434599156118,0.0
