ID,Period,InvestorID,FeeAmount,FeeUnits,CalculationDate,UnitsBefore,UnitsAfter,NAVPerUnit,Description
1,2024,1,8851513.87,5901.0092466666665,2024-12-31,100000.0,94098.99075333332,1500.0,Year-end fee for 2024
2,2024,2,1700468.23,1133.6454866666666,2024-12-31,40000.0,38866.35451333333,1500.0,Year-end fee for 2024
3,2024,3,2697875.91,1798.5839400000002,2024-12-31,60000.0,58201.41606,1500.0,Year-end fee for 2024
4,2025,1,5649590.64,2988.994862191097,2025-12-31,94098.99075333332,91109.99589114224,1890.1305958948824,Year-end fee for 2025
5,2025,2,998489.41,528.2647729043639,2025-12-31,30491.94317305242,29963.678400148056,1890.1305958948824,Year-end fee for 2025
6,2025,3,3494343.28,1848.7311340228337,2025-12-31,58201.41606,56352.68492597716,1890.1305958948824,Year-end fee for 2025
7,2025,4,1232150.38,651.8863737119913,2025-12-31,20000.0,19348.11362628801,1890.1305958948824,Year-end fee for 2025
