InvestorID,TrancheID,EntryDate,EntryNAV,Units,HWM,OriginalEntryDate,OriginalEntryNAV,CumulativeFeesPaid,OriginalInvestedValue,InvestedValue
1,R0001,2024-01-16,100000000.0,94098.99075333333,100000000.0,2024-01-16,100000000.0,1770302774000.0,100000000.0,9409899075333.334
1,R0005,2025-08-20,450000000.0,26453.198582464887,450000000.0,2025-08-20,450000000.0,0.0,50000000.0,11903939362109.2
2,R0002,2024-06-29,175000000.0,30294.92594190476,175000000.0,2024-06-29,175000000.0,412990021524.63525,50000000.0,5301612039833.333
3,R0003,2024-08-28,250000000.0,58201.41606,250000000.0,2024-08-28,250000000.0,539575182000.00006,75000000.0,14550354015000.0
4,R0004,2025-01-31,330000000.0,20000.0,330000000.0,2025-01-31,330000000.0,0.0,30000000.0,6600000000000.0
