id,investor_id,tranche_id,entry_date,entry_nav,units,hwm,original_entry_date,original_entry_nav,cumulative_fees_paid
1,1,CORRECT_0001,2024-01-16 00:00:00,10000.0,9409.89907533,18328.8135,2024-01-16 00:00:00,10000.0,8851513.87
2,2,CORRECT_0002,2024-06-29 00:00:00,12500.0,3037.82644551,18328.8135,2024-06-29 00:00:00,12500.0,2045248.3845
3,3,CORRECT_0003,2024-08-28 00:00:00,12500.0,5826.43773476,18328.8135,2024-08-28 00:00:00,12500.0,2697875.91
4,4,CORRECT_0004,2025-01-31 00:00:00,15685.1943,1912.63170877,18328.8135,2025-01-31 00:00:00,15685.1943,0.0
5,1,CORRECT_0005,2025-08-20 00:00:00,18328.8135,2727.94526546,18328.8135,2025-08-20 00:00:00,18328.8135,0.0
