InvestorID,TrancheID,EntryDate,EntryNAV,Units,HWM,OriginalEntryDate,OriginalEntryNAV,CumulativeFeesPaid,OriginalInvestedValue,InvestedValue
1,RECOVERED_1_1705363200,2024-01-16,100000000.0,95333.44406245415,100000000.0,2024-01-16,100000000.0,1399966781263.7566,100000000.0,9533344406245.414
2,RECOVERED_5_1719619200,2024-06-29,175000000.0,30294.925941904756,175000000.0,2024-06-29,175000000.0,412990021524.63525,50000000.0,5301612039833.332
3,RECOVERED_6_1724803200,2024-08-28,250000000.0,58201.416059999996,250000000.0,2024-08-28,250000000.0,539575182000.00006,75000000.0,14550354014999.998
4,RECOVERED_15_1738281600,2025-01-31,330000000.0,20000.0,330000000.0,2025-01-31,330000000.0,0.0,30000000.0,6600000000000.0
1,RECOVERED_32_1755648000,2025-08-20,450000000.0,25218.745273344077,450000000.0,2025-08-20,450000000.0,370335992736.24335,50000000.0,11348435373004.834
